index ,smarts,smiles,ionization_center_id,acid_or_base,,
1,"[SX4:0](=[O:1])(=[O:2])([O:3]-[C,c,N,n:4])-[OX2:5]-[H:6]",NOS(=O)(=O)O,6,A ,,
1,"[SX4:0](=[O:1])(=[O:2])([O:3]-[C,c,N,n:4])-[OX2:5]-[H:6]",COS(=O)(=O)O,6,A ,,
2,"[SX4:0](=[O:1])(=[O:2])(-[C,c,N,n:3])-[OX2:4]-[H:5]",NS(=O)(=O)O,5,A ,,
2,"[SX4:0](=[O:1])(=[O:2])(-[C,c,N,n:3])-[OX2:4]-[H:5]",CS(=O)(=O)O,5,A ,,
3,[SX3:0](=[O:1])-[O:2]-[H:3],*S(=O)O,3,A ,,
4,"[c,n,o:0]-[C:1](=[O:2])-[O:3]-[H:4]",NC(=O)O,4,A ,,
4,"[c,n,o:0]-[C:1](=[O:2])-[O:3]-[H:4]",CC(=O)O,4,A ,,
4,"[c,n,o:0]-[C:1](=[O:2])-[O:3]-[H:4]",O=C(O)O,4,A ,,
5,[C:0](=[O:1])-[O:2]-[H:3],O=CO,3,A ,,
6,"[C,c,N,n:0](=[O,S:1])-[SX2,OX2:2]-[H:3]",O=NO,3,A ,,
6,"[C,c,N,n:0](=[O,S:1])-[SX2,OX2:2]-[H:3]",O=CO,3,A ,,
6,"[C,c,N,n:0](=[O,S:1])-[SX2,OX2:2]-[H:3]",S=CS,3,A ,,
6,"[C,c,N,n:0](=[O,S:1])-[SX2,OX2:2]-[H:3]",S=NS,3,A ,,
7,"[c,n:0]-[SX2:1]-[H:2]",*[SH]C,2,A ,,
7,"[c,n:0]-[SX2:1]-[H:2]",*[SH]N,2,A ,,
8,"[C,N:0]-[SX2:1]-[H:2]",*[SH]C,2,A ,,
8,"[C,N:0]-[SX2:1]-[H:2]",*[SH]N,2,A ,,
9,PX4:0](=[O:1])(-[OX2:2]-[H:3])(-[O+0:4])-[OX2:5]-[H:6],O=P([O-])(O)O,"3,6",A ,,
10,[P:0](=[O:1])([O:2][H:3])([*:4])[O:5][H:6],CP(=O)(O)O,"3,6",A ,,
10,[P:0](=[O:1])([O:2][H:3])([*:4])[O:5][H:6],NP(=O)(O)O,"3,6",A ,,
11,[PX4:0](=[O:1])(-[O:2]-[H:3])(-[H:4])-[C:5],C[PH](=O)O,3,A ,,
12,"[c,n,o:0]-[O:1]-[H:2]",CO ,2,A ,,
12,"[c,n,o:0]-[O:1]-[H:2]",OO,2,A ,,
12,"[c,n,o:0]-[O:1]-[H:2]",NO,2,A ,,
13,"[O:0]([$(C=O),$(C[Cl]),$(CF),$(C[Br]),$(CC#N):1])-[O:2]-[H:3]",O=CCOO,3,A ,,
13,"[O:0]([$(C=O),$(C[Cl]),$(CF),$(C[Br]),$(CC#N):1])-[O:2]-[H:3]",OOCCl,3,A ,,
13,"[O:0]([$(C=O),$(C[Cl]),$(CF),$(C[Br]),$(CC#N):1])-[O:2]-[H:3]",OOCF,3,A ,,
13,"[O:0]([$(C=O),$(C[Cl]),$(CF),$(C[Br]),$(CC#N):1])-[O:2]-[H:3]",OOCBr,3,A ,,
13,"[O:0]([$(C=O),$(C[Cl]),$(CF),$(C[Br]),$(CC#N):1])-[O:2]-[H:3]",N#CCOO,3,A ,,
14,[C:0]-[O:1]-[O:2]-[H:3],COO,3,A ,,
15,[O:0]=[C;R:1]-[C;R:2]=[C;R:3]-[O:4]-[H:5],*C(=O)C(*)=C(*)O,5,A ,,
16,[C:0]=[C:1]-[O:2]-[H:3],C=CO,3,A ,,
17,[C:0]-[O:1]-[H:2],CO,2,A ,,
18,[C:0](=[O:1])-[N:2]-[O:3]-[H:4],O=CNO,4,A ,,
19,"[O,S:0]=[C;R:1]([$([#8]),$([#7]),$([#16]),$([#6][Cl]),$([#6]F),$([#6][Br]):2])-[N;R:3]([C;R:4]=[O,S:5])-[H:6]",OC(=S)NC=S,6,A ,,
19,"[O,S:0]=[C;R:1]([$([#8]),$([#7]),$([#16]),$([#6][Cl]),$([#6]F),$([#6][Br]):2])-[N;R:3]([C;R:4]=[O,S:5])-[H:6]",O=CNC(=O)O,6,A ,,
19,"[O,S:0]=[C;R:1]([$([#8]),$([#7]),$([#16]),$([#6][Cl]),$([#6]F),$([#6][Br]):2])-[N;R:3]([C;R:4]=[O,S:5])-[H:6]",[N]C(=O)NC=O,6,A ,,
19,"[O,S:0]=[C;R:1]([$([#8]),$([#7]),$([#16]),$([#6][Cl]),$([#6]F),$([#6][Br]):2])-[N;R:3]([C;R:4]=[O,S:5])-[H:6]",NC(=S)NC=S,6,A ,,
19,"[O,S:0]=[C;R:1]([$([#8]),$([#7]),$([#16]),$([#6][Cl]),$([#6]F),$([#6][Br]):2])-[N;R:3]([C;R:4]=[O,S:5])-[H:6]",O=CNC(=O)S,6,A ,,
19,"[O,S:0]=[C;R:1]([$([#8]),$([#7]),$([#16]),$([#6][Cl]),$([#6]F),$([#6][Br]):2])-[N;R:3]([C;R:4]=[O,S:5])-[H:6]",*C(=S)NC(=S)S,6,A ,,
19,"[O,S:0]=[C;R:1]([$([#8]),$([#7]),$([#16]),$([#6][Cl]),$([#6]F),$([#6][Br]):2])-[N;R:3]([C;R:4]=[O,S:5])-[H:6]",*C(=O)NC(=O)CCl,6,A ,,
19,"[O,S:0]=[C;R:1]([$([#8]),$([#7]),$([#16]),$([#6][Cl]),$([#6]F),$([#6][Br]):2])-[N;R:3]([C;R:4]=[O,S:5])-[H:6]",*C(=S)NC(=S)CCl,6,A ,,
19,"[O,S:0]=[C;R:1]([$([#8]),$([#7]),$([#16]),$([#6][Cl]),$([#6]F),$([#6][Br]):2])-[N;R:3]([C;R:4]=[O,S:5])-[H:6]",*C(=O)NC(=O)CF,6,A ,,
19,"[O,S:0]=[C;R:1]([$([#8]),$([#7]),$([#16]),$([#6][Cl]),$([#6]F),$([#6][Br]):2])-[N;R:3]([C;R:4]=[O,S:5])-[H:6]",*C(=S)NC(=S)CF,6,A ,,
19,"[O,S:0]=[C;R:1]([$([#8]),$([#7]),$([#16]),$([#6][Cl]),$([#6]F),$([#6][Br]):2])-[N;R:3]([C;R:4]=[O,S:5])-[H:6]",*C(=O)NC(=O)CBr,6,A ,,
19,"[O,S:0]=[C;R:1]([$([#8]),$([#7]),$([#16]),$([#6][Cl]),$([#6]F),$([#6][Br]):2])-[N;R:3]([C;R:4]=[O,S:5])-[H:6]",*C(=S)NC(=S)CBr,6,A ,,
20,"[O,S:0]=[C;R:1]-[N;R:2]([C;R:3]=[O,S:4])-[H:5]",*C(=O)NC(*)=O,5,A ,,
20,"[O,S:0]=[C;R:1]-[N;R:2]([C;R:3]=[O,S:4])-[H:5]",*C(=S)NC(*)=S,5,A ,,
21,"[F,Cl,Br,S,s,P,p:0][#6:1][CX3:2](=[O,S:3])-[NX3+0:4]([CX3:5]=[O,S:6])-[H:7]",O=CNC(=O)CF,7,A ,,
21,"[F,Cl,Br,S,s,P,p:0][#6:1][CX3:2](=[O,S:3])-[NX3+0:4]([CX3:5]=[O,S:6])-[H:7]",O=CNC(=O)CCl,7,A ,,
21,"[F,Cl,Br,S,s,P,p:0][#6:1][CX3:2](=[O,S:3])-[NX3+0:4]([CX3:5]=[O,S:6])-[H:7]",O=CNC(=O)CBr,7,A ,,
21,"[F,Cl,Br,S,s,P,p:0][#6:1][CX3:2](=[O,S:3])-[NX3+0:4]([CX3:5]=[O,S:6])-[H:7]",O=CNC(=O)CS,7,A ,,
21,"[F,Cl,Br,S,s,P,p:0][#6:1][CX3:2](=[O,S:3])-[NX3+0:4]([CX3:5]=[O,S:6])-[H:7]",O=CNC(=O)CP,7,A ,,
21,"[F,Cl,Br,S,s,P,p:0][#6:1][CX3:2](=[O,S:3])-[NX3+0:4]([CX3:5]=[O,S:6])-[H:7]",S=CNC(=S)CF,7,A ,,
21,"[F,Cl,Br,S,s,P,p:0][#6:1][CX3:2](=[O,S:3])-[NX3+0:4]([CX3:5]=[O,S:6])-[H:7]",S=CNC(=S)CCl,7,A ,,
21,"[F,Cl,Br,S,s,P,p:0][#6:1][CX3:2](=[O,S:3])-[NX3+0:4]([CX3:5]=[O,S:6])-[H:7]",S=CNC(=S)CBr,7,A ,,
